,0_time
0,0.0006969384849071503
1,0.0006945952773094177
2,0.0003802478313446045
3,0.0003797970712184906
4,0.00038085877895355225
5,0.00037983059883117676
6,0.00038047879934310913
7,0.0003840699791908264
8,0.0003827996551990509
9,0.0003800429403781891
10,0.0003816075623035431
11,0.0003810785710811615
12,0.0003832578659057617
13,0.0003823675215244293
14,0.00038117170333862305
15,0.000380445271730423
16,0.00038381293416023254
17,0.00038714706897735596
18,0.00040428340435028076
19,0.00041765719652175903
20,0.0004081055521965027
21,0.00039285048842430115
22,0.0003864876925945282
23,0.00038262829184532166
24,0.0003818199038505554
25,0.00038156658411026
26,0.00038639456033706665
27,0.00038280338048934937
28,0.00038214772939682007
29,0.00038232654333114624
30,0.0003826320171356201
31,0.00039958953857421875
