,0_time
0,1.3381242752075195e-05
1,5.140900611877441e-06
2,4.0121376514434814e-06
3,4.015862941741943e-06
4,3.6507844924926758e-06
5,3.7066638469696045e-06
6,3.676861524581909e-06
7,3.46451997756958e-06
8,3.7141144275665283e-06
9,3.7103891372680664e-06
10,3.643333911895752e-06
11,3.807246685028076e-06
12,4.135072231292725e-06
13,3.825873136520386e-06
14,3.6954879760742188e-06
15,3.5725533962249756e-06
16,3.378838300704956e-06
17,3.475695848464966e-06
18,3.4980475902557373e-06
19,3.509223461151123e-06
20,3.46451997756958e-06
21,3.762543201446533e-06
22,3.773719072341919e-06
23,3.4980475902557373e-06
24,3.4458935260772705e-06
25,3.38628888130188e-06
26,3.46451997756958e-06
27,3.4533441066741943e-06
28,3.3713877201080322e-06
29,3.38628888130188e-06
30,3.416091203689575e-06
