,0_time
0,4.3705105781555176e-05
1,2.1755695343017578e-05
2,1.5035271644592285e-05
3,1.2472271919250488e-05
4,1.1995434761047363e-05
5,1.2211501598358154e-05
6,1.3090670108795166e-05
7,1.2040138244628906e-05
8,1.17570161819458e-05
9,1.1555850505828857e-05
10,1.1883676052093506e-05
11,1.1831521987915039e-05
12,1.2062489986419678e-05
13,1.1809170246124268e-05
14,1.2129545211791992e-05
15,1.2405216693878174e-05
16,1.2032687664031982e-05
17,1.1488795280456543e-05
18,1.1593103408813477e-05
19,1.1593103408813477e-05
20,1.1682510375976562e-05
21,1.1771917343139648e-05
22,1.2181699275970459e-05
23,1.1801719665527344e-05
24,1.1928379535675049e-05
25,1.1652708053588867e-05
26,1.1786818504333496e-05
27,1.134723424911499e-05
28,1.2114644050598145e-05
29,1.1533498764038086e-05
30,1.1563301086425781e-05
