,0_time
0,0.0018340498208999634
1,0.0017925053834915161
2,0.001250147819519043
3,0.0014626085758209229
4,0.001252785325050354
5,0.001256600022315979
6,0.001251503825187683
7,0.0012448281049728394
8,0.001259133219718933
9,0.0012497007846832275
10,0.0012597441673278809
11,0.0012572109699249268
12,0.0012676864862442017
13,0.001260504126548767
14,0.0012728571891784668
15,0.0012813955545425415
16,0.0012608915567398071
17,0.0012533962726593018
18,0.0012616366147994995
19,0.0013163834810256958
20,0.001281842589378357
21,0.0012922585010528564
22,0.0012842118740081787
23,0.0013313442468643188
24,0.0012837350368499756
25,0.0012617707252502441
26,0.0012595504522323608
27,0.001254349946975708
28,0.0012611597776412964
29,0.0012748241424560547
30,0.0012645423412322998
31,0.0012557804584503174
32,0.0012668520212173462
33,0.001260712742805481
34,0.0012642443180084229
35,0.0012639611959457397
36,0.0012639611959457397
37,0.0012631118297576904
38,0.0012699514627456665
39,0.001262962818145752
40,0.0012716799974441528
41,0.0012608170509338379
42,0.0012881159782409668
43,0.0012761205434799194
44,0.0012691617012023926
45,0.0012648850679397583
46,0.0012681186199188232
47,0.0012732148170471191
48,0.0012747347354888916
49,0.001270890235900879
50,0.00126570463180542
51,0.0012616664171218872
52,0.0012644827365875244
53,0.001267760992050171
54,0.00127430260181427
55,0.0012664645910263062
56,0.001264825463294983
57,0.0012653768062591553
58,0.0012859851121902466
59,0.0012860149145126343
60,0.0012673288583755493
61,0.0012635588645935059
62,0.0019424110651016235
