,Itr0_time,Itr0_acc,Itr0_conf,Itr0_aclabel
0,2.6161022186279297,0.0,[0.82669866],[9]
1,0.06974220275878906,0.0,[0.37308428],[1]
2,0.012002944946289062,0.0,[0.43254447],[1]
3,0.009598493576049805,1.0,[0.7270222],[7]
4,0.00954294204711914,0.0,[0.3330092],[3]
5,0.009594202041625977,1.0,[0.68778336],[8]
6,0.009531259536743164,0.0,[0.1993271],[7]
7,0.009531974792480469,0.0,[0.2543562],[4]
8,0.009518146514892578,1.0,[0.37622705],[2]
9,0.00955963134765625,0.0,[0.40695786],[6]
10,0.009503364562988281,1.0,[0.6715348],[8]
11,0.009535551071166992,0.0,[0.5849441],[0]
12,0.009525537490844727,0.0,[0.90291667],[9]
13,0.009557008743286133,1.0,[0.53738534],[7]
14,0.009511470794677734,1.0,[0.2579906],[3]
15,0.009558439254760742,0.0,[0.34919447],[3]
16,0.009525060653686523,0.0,[0.3673919],[2]
17,0.009554862976074219,1.0,[0.5782498],[1]
18,0.009615421295166016,0.0,[0.5669809],[0]
19,0.00973057746887207,1.0,[0.8856166],[0]
20,0.009554386138916016,1.0,[0.31231153],[5]
21,0.00957632064819336,1.0,[0.53103197],[4]
22,0.009576559066772461,1.0,[0.5731218],[2]
23,0.009571313858032227,1.0,[0.89163166],[8]
24,0.009564876556396484,0.0,[0.40197197],[2]
25,0.00955057144165039,1.0,[0.7975551],[1]
26,0.009563446044921875,1.0,[0.89864546],[0]
27,0.0095367431640625,1.0,[0.69132245],[1]
28,0.009528160095214844,1.0,[0.91387457],[0]
29,0.00953221321105957,1.0,[0.5990156],[9]
30,0.009550809860229492,1.0,[0.64157873],[6]
31,0.009544134140014648,0.0,[0.48451608],[3]
32,0.009510993957519531,0.0,[0.31236917],[5]
33,0.009551763534545898,0.0,[0.5844785],[1]
34,0.009560108184814453,0.0,[0.6260058],[0]
35,0.009531259536743164,0.0,[0.2797238],[0]
36,0.009513616561889648,0.0,[0.33547103],[6]
37,0.009608268737792969,1.0,[0.7401637],[4]
38,0.009619951248168945,1.0,[0.8210095],[6]
39,0.009528636932373047,1.0,[0.5380403],[4]
40,0.009517431259155273,1.0,[0.6740769],[5]
41,0.009534358978271484,1.0,[0.8639918],[6]
42,0.009516716003417969,1.0,[0.37443158],[2]
43,0.009512901306152344,1.0,[0.37256464],[1]
44,0.009515762329101562,0.0,[0.25151125],[3]
45,0.009552001953125,1.0,[0.36115035],[0]
46,0.009570598602294922,0.0,[0.35506898],[5]
47,0.00951528549194336,1.0,[0.93192697],[4]
48,0.009519577026367188,1.0,[0.95022047],[8]
49,0.009523153305053711,1.0,[0.7282432],[9]
50,0.009533405303955078,1.0,[0.9034265],[0]
51,0.009502172470092773,1.0,[0.49004298],[7]
52,0.009515762329101562,0.0,[0.4483434],[6]
53,0.009587526321411133,1.0,[0.770595],[8]
54,0.009518861770629883,1.0,[0.81556857],[6]
55,0.009560823440551758,0.0,[0.5462317],[7]
56,0.009589433670043945,1.0,[0.81977963],[2]
57,0.009526729583740234,0.0,[0.3171394],[2]
58,0.009525537490844727,1.0,[0.6162538],[7]
59,0.009523630142211914,0.0,[0.6847879],[9]
60,0.009512901306152344,0.0,[0.34126085],[4]
61,0.009577274322509766,1.0,[0.68195635],[9]
62,0.009533166885375977,0.0,[0.21319969],[5]
63,0.009587764739990234,1.0,[0.83137995],[1]
64,0.009513378143310547,0.0,[0.44247466],[3]
65,0.009544849395751953,1.0,[0.49078235],[0]
66,0.00957489013671875,0.0,[0.5587175],[3]
67,0.009528160095214844,0.0,[0.8277115],[0]
68,0.00953364372253418,0.0,[0.5253459],[9]
69,0.009521722793579102,0.0,[0.43550262],[0]
70,0.009529590606689453,0.0,[0.45376685],[9]
71,0.009532928466796875,0.0,[0.5739716],[3]
72,0.00950479507446289,0.0,[0.5234093],[2]
73,0.009534835815429688,0.0,[0.41950172],[1]
74,0.009606361389160156,1.0,[0.97016126],[5]
75,0.00954890251159668,1.0,[0.5324251],[8]
76,0.009554624557495117,0.0,[0.3348401],[1]
77,0.009567499160766602,1.0,[0.3103415],[2]
78,0.00954294204711914,1.0,[0.8371325],[5]
79,0.009523153305053711,0.0,[0.504845],[0]
80,0.009501457214355469,0.0,[0.28373468],[7]
81,0.009540557861328125,1.0,[0.7494433],[6]
82,0.009539604187011719,1.0,[0.28708327],[7]
83,0.009513378143310547,1.0,[0.2725188],[7]
84,0.009530782699584961,1.0,[0.92115575],[8]
85,0.009586095809936523,1.0,[0.24665464],[3]
86,0.009546995162963867,1.0,[0.45289823],[5]
87,0.009499788284301758,1.0,[0.4506012],[8]
88,0.009506464004516602,0.0,[0.27760178],[7]
89,0.009530067443847656,1.0,[0.6760862],[8]
90,0.009516239166259766,0.0,[0.40631208],[5]
91,0.009514808654785156,1.0,[0.9831125],[0]
92,0.009558677673339844,1.0,[0.93638366],[6]
93,0.009521484375,0.0,[0.3132253],[4]
94,0.009534120559692383,0.0,[0.38484767],[1]
95,0.009520769119262695,0.0,[0.6156456],[9]
96,0.009534120559692383,1.0,[0.2427607],[3]
97,0.009532451629638672,1.0,[0.6690742],[8]
98,0.009544134140014648,0.0,[0.2764976],[7]
99,0.009525060653686523,0.0,[0.34295064],[3]
100,0.00951242446899414,0.0,[0.66814524],[5]
101,0.009545326232910156,1.0,[0.81484026],[4]
102,0.009517192840576172,1.0,[0.7305725],[1]
103,0.009536027908325195,0.0,[0.2504669],[4]
104,0.009508609771728516,1.0,[0.77296937],[8]
105,0.009525299072265625,0.0,[0.31138405],[4]
106,0.00953984260559082,0.0,[0.70273876],[1]
107,0.009537935256958008,1.0,[0.965953],[8]
108,0.009512662887573242,1.0,[0.68817866],[4]
109,0.009534597396850586,0.0,[0.3483415],[0]
110,0.009557723999023438,1.0,[0.2905337],[3]
111,0.009507417678833008,0.0,[0.2848617],[2]
112,0.009511232376098633,1.0,[0.6570835],[9]
113,0.009496450424194336,0.0,[0.372613],[3]
114,0.009533166885375977,0.0,[0.35197517],[2]
115,0.009552955627441406,0.0,[0.24019867],[3]
